City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
44,yuma,32.7253,-114.6244,23.27,33,75,6.17,US,1707166599
45,ebon,4.582,168.6964,28.59,68,100,7.7,MH,1707167038
46,minggang,32.4586,114.0486,-4.14,95,100,2.05,CN,1707167038
47,yemva,62.59,50.8594,-21.21,99,98,2.44,RU,1707167038
48,port lincoln,-34.7333,135.8667,14.97,65,0,4.16,AU,1707167039
49,whitehorse,60.7161,-135.0538,-20.57,77,75,3.09,CA,1707166948
50,college,64.8569,-147.8028,-17.28,75,20,1.54,US,1707167039
51,alofi,-19.0595,-169.9187,28.94,70,75,3.09,NU,1707167039
52,amahai,-3.3333,128.9167,25.79,82,100,2.08,ID,1707167039
53,talnakh,69.4865,88.3972,-21.53,88,94,2.14,RU,1707167039
54,saveh,35.0213,50.3566,6.97,54,100,4.73,IR,1707167039
55,shenjiamen,29.9576,122.298,3.41,78,98,6.76,CN,1707167039
56,manggar,-2.8833,108.2667,26.16,85,100,3.48,ID,1707167040
57,sitka,57.0531,-135.33,3.94,87,75,0.0,US,1707167040
58,bubaque,11.2833,-15.8333,26.64,76,0,5.18,GW,1707167040
59,poronaysk,49.2167,143.1167,-23.31,98,11,1.28,RU,1707167040
60,kapuskasing,49.4169,-82.4331,-2.95,100,100,2.06,CA,1707167040
61,atafu village,-8.5421,-172.5159,28.76,79,100,11.05,TK,1707167040
62,kuala belait,4.5833,114.1833,25.09,92,100,1.27,BN,1707167041
63,fale old settlement,-9.3852,-171.2468,29.19,77,92,10.85,TK,1707167041
64,mikuni,36.2171,136.1519,1.95,87,99,3.29,JP,1707167041
65,caarapo,-22.6342,-54.8222,26.51,64,93,2.7,BR,1707167041
66,udachny,66.4167,112.4,-22.53,76,100,2.15,RU,1707167041
67,san antonio de pale,-1.4014,5.6325,27.72,76,74,2.49,GQ,1707167041
68,susuman,62.7833,148.1667,-28.9,89,100,1.34,RU,1707167042
69,sassandra,4.95,-6.0833,28.05,73,7,3.52,CI,1707166890
70,bethel,41.3712,-73.414,6.22,47,0,5.14,US,1707166758
71,afaahiti,-17.75,-149.2833,25.93,91,100,9.52,PF,1707167042
72,charters towers,-20.1,146.2667,25.02,83,11,3.0,AU,1707167042
73,praia da vitoria,38.7333,-27.0667,18.14,94,40,7.74,PT,1707167043
74,qiqihar,47.3408,123.9672,-18.07,95,100,0.3,CN,1707167043
75,sao felix do xingu,-6.6447,-51.995,25.52,87,100,1.12,BR,1707167043
76,bonthe,7.5264,-12.505,26.78,81,0,4.0,SL,1707167043
77,chibougamau,49.9168,-74.3659,-4.21,58,0,2.06,CA,1707167043
78,jamestown,42.097,-79.2353,0.77,84,100,4.63,US,1707167001
79,sechura,-5.5569,-80.8222,27.72,71,81,5.58,PE,1707167044
80,stanley,54.868,-1.6985,10.77,80,75,7.2,GB,1707167044
81,chul'man,56.8479,124.9104,-29.92,99,91,0.45,RU,1707167045
82,novo aripuana,-5.1206,-60.3797,30.9,66,89,0.81,BR,1707167045
83,velez,6.0134,-73.6735,17.82,88,87,1.07,CO,1707167045
84,waingapu,-9.6567,120.2641,25.38,85,80,3.0,ID,1707167045
85,avarua,-21.2078,-159.775,29.03,79,40,7.72,CK,1707167045
86,kruisfontein,-34.0033,24.7314,19.94,85,0,1.5,ZA,1707167045
87,vilyuchinsk,52.9306,158.4028,-9.85,78,77,4.06,RU,1707167046
88,okakarara,-20.5833,17.4333,23.05,62,98,3.83,NA,1707167046
89,banda aceh,5.5577,95.3222,25.39,87,100,3.3,ID,1707167046
90,punta arenas,-53.15,-70.9167,14.01,49,20,13.38,CL,1707166836
91,kavieng,-2.5744,150.7967,28.25,76,100,1.47,PG,1707167047
92,san fernando de apure,7.8878,-67.4724,30.68,59,100,2.37,VE,1707167047
93,kigorobya,1.6162,31.3089,21.71,66,50,1.01,UG,1707167047
94,sinabang,2.4803,96.3801,26.85,82,100,1.17,ID,1707167047
95,daru,-9.0763,143.2092,25.82,91,100,3.11,PG,1707167048
